epoch,learning_rate,step,train_loss_epoch,val_acc,val_loss
0,,15,,0.25,2.2830810546875
0,0.004999999888241291,15,18.199291229248047,,
1,,31,,0.25,2.176513671875
1,0.004999999888241291,31,2.358980178833008,,
