epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,15,,,0.109375,2.321258544921875
0,1.9049999536946416e-05,15,2.3168258666992188,,,
1,,31,,,0.109375,2.321258544921875
1,1.9049999536946416e-05,31,2.317779541015625,,,
2,,47,,,0.109375,2.32073974609375
2,1.9049999536946416e-05,47,2.3130950927734375,,,
3,,49,,2.3160400390625,,
3,,63,,,0.109375,2.320556640625
3,1.9049999536946416e-05,63,2.314117431640625,,,
4,,79,,,0.109375,2.32000732421875
4,1.9049999536946416e-05,79,2.3137283325195312,,,
5,,95,,,0.109375,2.320037841796875
5,1.9049999536946416e-05,95,2.3113327026367188,,,
6,,99,,2.298828125,,
6,,111,,,0.109375,2.320098876953125
6,1.9049999536946416e-05,111,2.3151702880859375,,,
7,,127,,,0.109375,2.319427490234375
7,1.9049999536946416e-05,127,2.3118438720703125,,,
8,,143,,,0.109375,2.319061279296875
8,1.9049999536946416e-05,143,2.3136672973632812,,,
9,,149,,2.3349609375,,
9,,159,,,0.109375,2.31683349609375
9,1.9049999536946416e-05,159,2.3115615844726562,,,
10,,175,,,0.09375,2.306427001953125
10,1.7144999219453894e-05,175,2.30889892578125,,,
11,,191,,,0.09375,2.29278564453125
11,1.7144999219453894e-05,191,2.2880935668945312,,,
12,,199,,2.180908203125,,
12,,207,,,0.09375,2.2863006591796875
12,1.7144999219453894e-05,207,2.2773590087890625,,,
13,,223,,,0.09375,2.283905029296875
13,1.7144999219453894e-05,223,2.2765121459960938,,,
14,,239,,,0.09375,2.2817840576171875
14,1.7144999219453894e-05,239,2.2763710021972656,,,
15,,249,,2.25604248046875,,
15,,255,,,0.09375,2.2783355712890625
15,1.7144999219453894e-05,255,2.261394500732422,,,
16,,271,,,0.09375,2.2750396728515625
16,1.7144999219453894e-05,271,2.2591705322265625,,,
17,,287,,,0.09375,2.27423095703125
17,1.7144999219453894e-05,287,2.288928985595703,,,
18,,299,,2.3917236328125,,
18,,303,,,0.09375,2.27423095703125
18,1.7144999219453894e-05,303,2.27655029296875,,,
19,,319,,,0.09375,2.2734375
19,1.7144999219453894e-05,319,2.262035369873047,,,
20,,335,,,0.09375,2.2736053466796875
20,1.5430499843205325e-05,335,2.2667198181152344,,,
21,,349,,2.3751220703125,,
21,,351,,,0.09375,2.273773193359375
21,1.5430499843205325e-05,351,2.2659912109375,,,
22,,367,,,0.09375,2.273590087890625
22,1.5430499843205325e-05,367,2.2672462463378906,,,
