,accuracy,f1_score,loss,precision_1,recall_1,val_accuracy,val_f1_score,val_loss,val_precision_1,val_recall_1,learning_rate,time_per_epoch
0,0.109375,0.10882339626550674,3.2744951248168945,0.0892857164144516,0.0390625,0.15625,0.09839741885662079,2.069007635116577,0.0,0.0,0.0003000000142492354,69.78296208381653
1,0.171875,0.16851195693016052,2.4558606147766113,0.22368420660495758,0.06640625,0.09375,0.07825853675603867,2.109886646270752,1.0,0.03125,0.0003000000142492354,64.45766806602478
2,0.234375,0.22676292061805725,2.039480209350586,0.2884615361690521,0.05859375,0.15625,0.0773809403181076,1.9360473155975342,1.0,0.03125,0.0003000000142492354,63.88797068595886
3,0.25390625,0.24705857038497925,1.8951647281646729,0.4871794879436493,0.07421875,0.1875,0.12037035822868347,1.900473713874817,1.0,0.03125,0.0003000000142492354,66.02339029312134
4,0.3125,0.3132207691669464,1.7981410026550293,0.40740740299224854,0.04296875,0.21875,0.1398809403181076,1.798433542251587,1.0,0.03125,0.0003000000142492354,65.85553002357483
5,0.34375,0.33754613995552063,1.715175986289978,0.75,0.046875,0.21875,0.14120368659496307,1.7652511596679688,1.0,0.03125,0.0003000000142492354,64.18158507347107
6,0.33984375,0.3394869863986969,1.6877237558364868,0.46666666865348816,0.02734375,0.25,0.17834247648715973,1.729215145111084,1.0,0.03125,0.0003000000142492354,64.11767268180847
7,0.3828125,0.3786739110946655,1.589819073677063,0.75,0.05859375,0.40625,0.29097220301628113,1.7089738845825195,1.0,0.03125,0.0003000000142492354,63.4562029838562
8,0.4296875,0.42692726850509644,1.5634340047836304,0.6086956262588501,0.0546875,0.375,0.29638153314590454,1.6877548694610596,1.0,0.03125,0.0003000000142492354,63.3028564453125
9,0.44140625,0.4323872923851013,1.5477690696716309,0.5,0.05078125,0.4375,0.3602657914161682,1.6302573680877686,1.0,0.03125,0.0003000000142492354,63.73230600357056
10,0.4140625,0.4143725633621216,1.526849389076233,0.5454545617103577,0.046875,0.40625,0.3305194675922394,1.6501573324203491,1.0,0.03125,0.0003000000142492354,62.75294041633606
11,0.4296875,0.4226841926574707,1.4899482727050781,0.7058823704719543,0.09375,0.40625,0.34319984912872314,1.6045286655426025,1.0,0.03125,0.0003000000142492354,65.52586483955383
12,0.45703125,0.4543447494506836,1.4530882835388184,0.75,0.10546875,0.5,0.39920634031295776,1.5837771892547607,1.0,0.03125,0.0003000000142492354,66.08395481109619
13,0.46484375,0.45687800645828247,1.4238570928573608,0.675000011920929,0.10546875,0.4375,0.36398807168006897,1.6549694538116455,1.0,0.03125,0.0003000000142492354,66.95399236679077
14,0.46484375,0.45728757977485657,1.4358513355255127,0.6578947305679321,0.09765625,0.4375,0.41084372997283936,1.5528757572174072,1.0,0.03125,0.0003000000142492354,65.72748732566833
15,0.4921875,0.4818732440471649,1.3662104606628418,0.875,0.13671875,0.53125,0.46262621879577637,1.5389119386672974,1.0,0.03125,0.0003000000142492354,66.56177282333374
16,0.515625,0.5127284526824951,1.3823723793029785,0.692307710647583,0.10546875,0.5,0.4763888716697693,1.5027217864990234,1.0,0.03125,0.0003000000142492354,66.83662962913513
17,0.49609375,0.49175864458084106,1.3622100353240967,0.7948718070983887,0.12109375,0.5625,0.550490140914917,1.4727733135223389,1.0,0.03125,0.0003000000142492354,67.27065849304199
18,0.50390625,0.5036076307296753,1.335584044456482,0.7708333134651184,0.14453125,0.5625,0.5213235020637512,1.4698264598846436,1.0,0.03125,0.0003000000142492354,62.62198090553284
19,0.50390625,0.4898611307144165,1.3105459213256836,0.7799999713897705,0.15234375,0.625,0.5454003810882568,1.4538649320602417,1.0,0.03125,0.0003000000142492354,62.486504554748535
20,0.54296875,0.533434271812439,1.2874202728271484,0.8135592937469482,0.1875,0.59375,0.48430734872817993,1.4460816383361816,1.0,0.03125,0.0003000000142492354,63.173261642456055
21,0.5078125,0.50058913230896,1.3421299457550049,0.7413793206214905,0.16796875,0.65625,0.6145520806312561,1.4269582033157349,1.0,0.03125,0.0003000000142492354,62.53957986831665
22,0.5546875,0.5504902601242065,1.2241520881652832,0.8309859037399292,0.23046875,0.625,0.5507283806800842,1.4003007411956787,1.0,0.03125,0.0003000000142492354,62.451966285705566
23,0.609375,0.6065332293510437,1.2036540508270264,0.8181818127632141,0.2109375,0.65625,0.6230810284614563,1.3732980489730835,1.0,0.03125,0.0003000000142492354,63.32966756820679
24,0.5546875,0.5470960140228271,1.221048355102539,0.807692289352417,0.24609375,0.53125,0.4922618865966797,1.3784732818603516,1.0,0.03125,0.0003000000142492354,63.15782284736633
25,0.54296875,0.5473264455795288,1.2603522539138794,0.8484848737716675,0.21875,0.65625,0.6264880299568176,1.372596025466919,1.0,0.03125,0.0003000000142492354,63.6872193813324
26,0.57421875,0.5723714828491211,1.2344259023666382,0.8170731663703918,0.26171875,0.78125,0.7514203786849976,1.3341853618621826,1.0,0.0625,0.0003000000142492354,62.12454295158386
27,0.56640625,0.564935028553009,1.155977487564087,0.8674699068069458,0.28125,0.5625,0.5022435784339905,1.379570484161377,1.0,0.03125,0.0003000000142492354,62.67893576622009
