,time_per_epoch,train_accuracy,train_loss,val_accuracy,val_loss,precision,recall,f1,learning_rate
0,210.26774048805237,0.11328125,2.310187816619873,0.25,2.135373115539551,0.0128326416015625,0.11328125,0.023053728070175437,0.0005
1,183.12287735939026,0.11328125,2.2352830171585083,0.25,2.1145331859588623,0.0128326416015625,0.11328125,0.023053728070175437,0.0005
2,185.56759929656982,0.11328125,2.1797549724578857,0.25,2.1028733253479004,0.0128326416015625,0.11328125,0.023053728070175437,0.0005
3,188.61653780937195,0.11328125,2.1355472803115845,0.25,2.1009202003479004,0.01288296568627451,0.11328125,0.023134903169014086,0.0005
4,181.99999141693115,0.11328125,2.1071953773498535,0.03125,2.098198413848877,0.013861418776371308,0.11328125,0.024700422932330827,0.0005
5,183.16770839691162,0.13671875,2.0841556787490845,0.0625,2.099006175994873,0.04190477141943734,0.13671875,0.04522597928630024,0.0005
6,182.55517649650574,0.13671875,2.070086717605591,0.0625,2.1012144088745117,0.019064367529880475,0.13671875,0.03346263111888112,0.0005
7,180.77958369255066,0.13671875,2.0584936141967773,0.0625,2.1044962406158447,0.018913661067193676,0.13671875,0.03323025173611111,0.0005
8,180.88069915771484,0.14453125,2.0512356758117676,0.125,2.1072592735290527,0.03398094778679332,0.14453125,0.05464959635727353,0.00045000000000000004
9,181.3181529045105,0.1328125,2.047098159790039,0.125,2.1075081825256348,0.05409177875695732,0.1328125,0.047346769323671496,0.00045000000000000004
10,180.7826588153839,0.1328125,2.042293071746826,0.15625,2.107306480407715,0.01763916015625,0.1328125,0.031142241379310345,0.00045000000000000004
11,181.1168704032898,0.17578125,2.03876793384552,0.21875,2.1054837703704834,0.09782931170886076,0.17578125,0.0889322634035164,0.00040500000000000003
12,180.30024909973145,0.23046875,2.0347673892974854,0.21875,2.1032023429870605,0.08090793312976832,0.23046875,0.10426369667477851,0.00040500000000000003
13,180.68788981437683,0.24609375,2.029531717300415,0.21875,2.099714756011963,0.23957241766467066,0.24609375,0.14780787970430107,0.00040500000000000003
14,180.33482098579407,0.21875,2.024185299873352,0.21875,2.0980849266052246,0.2562538485221675,0.21875,0.14853332151719248,0.0003645
15,180.39081692695618,0.1953125,2.0189610719680786,0.21875,2.093888998031616,0.2961338484933696,0.1953125,0.13059777172258613,0.0003645
16,179.75014853477478,0.18359375,2.014577090740204,0.15625,2.0882301330566406,0.30398315104936446,0.18359375,0.11475613484355837,0.0003645
17,180.46902799606323,0.19921875,2.0096654891967773,0.1875,2.0825133323669434,0.4283086150181488,0.19921875,0.12246813045046742,0.0003645
18,180.73032760620117,0.22265625,2.00425523519516,0.15625,2.0771212577819824,0.4934507151741293,0.22265625,0.1623755374523575,0.0003645
19,179.83483982086182,0.2421875,1.9996083974838257,0.15625,2.070681095123291,0.4499753176510989,0.2421875,0.17749864068223442,0.0003645
20,180.19638085365295,0.296875,1.9951633214950562,0.1875,2.0647051334381104,0.3392275397040625,0.296875,0.22419658648187357,0.0003645
21,179.21174669265747,0.3515625,1.9907131791114807,0.21875,2.058286190032959,0.3564579337759667,0.3515625,0.2768843671202601,0.0003645
22,179.76927495002747,0.390625,1.9864878058433533,0.21875,2.050990581512451,0.3730667502446184,0.390625,0.3036545153297282,0.0003645
23,180.16152453422546,0.41015625,1.9826442003250122,0.21875,2.044478178024292,0.3774956597222222,0.41015625,0.32030719981290284,0.0003645
24,179.83218455314636,0.421875,1.9785632491111755,0.15625,2.037879228591919,0.38177764036830886,0.421875,0.3313067276408739,0.0003645
25,179.38318490982056,0.41796875,1.9741191864013672,0.15625,2.031520366668701,0.38357495555727805,0.41796875,0.32693860073429026,0.0003645
26,180.20005226135254,0.4375,1.9702021479606628,0.21875,2.0251944065093994,0.5143698724808274,0.4375,0.36470734514956715,0.0003645
27,180.3833019733429,0.48828125,1.9657310247421265,0.25,2.019455671310425,0.5153496951711886,0.48828125,0.4343551010426329,0.0003645
28,180.55813694000244,0.53515625,1.9615840315818787,0.25,2.01676869392395,0.5174682088744589,0.53515625,0.4813383254185971,0.0003645
29,180.25003051757812,0.5390625,1.957501769065857,0.25,2.0122694969177246,0.5180135871413029,0.5390625,0.48816278455253,0.0003645
30,179.97137761116028,0.54296875,1.953395962715149,0.3125,2.007807731628418,0.48748356710989627,0.54296875,0.4913838358827155,0.0003645
31,180.1653537750244,0.5625,1.9491063356399536,0.34375,2.004972457885742,0.502252435064935,0.5625,0.509655011072009,0.0003645
32,180.03700733184814,0.55859375,1.944855809211731,0.40625,2.0019664764404297,0.4928294454801151,0.55859375,0.5068700569846376,0.0003645
33,179.44000005722046,0.56640625,1.9408356547355652,0.375,2.000978946685791,0.49531905083332317,0.56640625,0.5145841482682818,0.0003645
34,179.20591473579407,0.55859375,1.9364641308784485,0.40625,1.9982714653015137,0.4949313389847688,0.55859375,0.5098109110905774,0.0003645
35,179.96248960494995,0.5625,1.9322640299797058,0.40625,1.995039701461792,0.49274278459481785,0.5625,0.5109799154757424,0.0003645
36,180.58582282066345,0.5703125,1.9279195070266724,0.40625,1.9924647808074951,0.4981892669185127,0.5703125,0.5171696515286799,0.0003645
