epoch,learning_rate,step,train_acc,train_batch_time_sec,train_epoch_time_sec,train_loss,val_acc,val_loss
42,,687,,,,,0.8125,1.114715576171875
42,1.2465899999369867e-05,687,0.49609375,,29.8165225982666,,,
43,,699,,0.9561367034912109,,1.00286865234375,,
43,,703,,,,,0.8125,1.1005859375
43,1.2465899999369867e-05,703,0.5625,,29.73649024963379,,,
44,,719,,,,,0.8125,1.0777587890625
44,1.2465899999369867e-05,719,0.53125,,29.816030502319336,,,
45,,735,,,,,0.8125,1.080413818359375
45,1.2465899999369867e-05,735,0.5390625,,29.941940307617188,,,
46,,749,,0.9721183776855469,,1.290618896484375,,
46,,751,,,,,0.75,1.071990966796875
46,1.2465899999369867e-05,751,0.55859375,,30.165935516357422,,,
47,,767,,,,,0.8125,1.03485107421875
47,1.2465899999369867e-05,767,0.52734375,,29.758625030517578,,,
48,,783,,,,,0.75,1.065216064453125
48,1.2465899999369867e-05,783,0.515625,,29.816329956054688,,,
49,,799,,0.9624602794647217,,1.318206787109375,,
49,,799,,,,,0.75,1.033538818359375
49,1.2465899999369867e-05,799,0.55859375,,29.71719741821289,,,
50,,815,,,,,0.8125,1.03533935546875
50,1.121931018133182e-05,815,0.5859375,,29.78114891052246,,,
51,,831,,,,,0.8125,1.0142822265625
51,1.121931018133182e-05,831,0.5546875,,29.295930862426758,,,
52,,847,,,,,0.8125,1.0473480224609375
52,1.121931018133182e-05,847,0.5625,,29.547996520996094,,,
53,,849,,0.9572527408599854,,1.3438949584960938,,
53,,863,,,,,0.8125,1.025146484375
53,1.121931018133182e-05,863,0.58203125,,29.807079315185547,,,
54,,879,,,,,0.8125,1.02349853515625
54,1.121931018133182e-05,879,0.5546875,,29.711606979370117,,,
55,,895,,,,,0.8125,1.0248260498046875
55,1.121931018133182e-05,895,0.55078125,,29.31214714050293,,,
56,,899,,0.9551410675048828,,1.221832275390625,,
56,,911,,,,,0.8125,1.0087432861328125
56,1.121931018133182e-05,911,0.59765625,,29.488487243652344,,,
57,,927,,,,,0.8125,0.9936370849609375
57,1.121931018133182e-05,927,0.515625,,29.962915420532227,,,
58,,943,,,,,0.8125,1.01971435546875
58,1.121931018133182e-05,943,0.5703125,,29.900625228881836,,,
59,,949,,0.96051025390625,,1.683074951171875,,
59,,959,,,,,0.8125,0.987945556640625
59,1.121931018133182e-05,959,0.56640625,,29.982345581054688,,,
60,,975,,,,,0.8125,0.9636688232421875
60,1.0097379345097579e-05,975,0.61328125,,29.726713180541992,,,
61,,991,,,,,0.8125,0.9659881591796875
61,1.0097379345097579e-05,991,0.5546875,,29.699405670166016,,,
62,,999,,0.9624209403991699,,1.1136703491210938,,
62,,1007,,,,,0.8125,0.9566802978515625
62,1.0097379345097579e-05,1007,0.5625,,29.767501831054688,,,
63,,1023,,,,,0.8125,0.9587554931640625
63,1.0097379345097579e-05,1023,0.56640625,,29.528928756713867,,,
64,,1039,,,,,0.8125,0.940582275390625
64,1.0097379345097579e-05,1039,0.55859375,,29.5009708404541,,,
65,,1049,,0.967949628829956,,1.0962753295898438,,
65,,1055,,,,,0.8125,0.9350738525390625
65,1.0097379345097579e-05,1055,0.5859375,,29.467185974121094,,,
66,,1071,,,,,0.8125,0.9220123291015625
66,1.0097379345097579e-05,1071,0.59375,,29.288005828857422,,,
67,,1087,,,,,0.8125,0.9359588623046875
67,1.0097379345097579e-05,1087,0.57421875,,29.817119598388672,,,
68,,1099,,0.9692552089691162,,1.1112213134765625,,
68,,1103,,,,,0.8125,0.92535400390625
68,1.0097379345097579e-05,1103,0.60546875,,29.876596450805664,,,
69,,1119,,,,,0.8125,0.941741943359375
69,1.0097379345097579e-05,1119,0.5546875,,29.536462783813477,,,
70,,1135,,,,,0.75,0.9497222900390625
70,9.08764104678994e-06,1135,0.6015625,,29.37148666381836,,,
71,,1149,,0.9624807834625244,,0.7936592102050781,,
71,,1151,,,,,0.8125,0.9212493896484375
71,9.08764104678994e-06,1151,0.625,,29.799476623535156,,,
72,,1167,,,,,0.8125,0.9064483642578125
72,9.08764104678994e-06,1167,0.5546875,,29.512706756591797,,,
73,,1183,,,,,0.8125,0.89874267578125
73,9.08764104678994e-06,1183,0.640625,,28.436437606811523,,,
74,,1199,,0.9677352905273438,,0.9145126342773438,,
74,,1199,,,,,0.8125,0.88946533203125
74,9.08764104678994e-06,1199,0.578125,,28.574352264404297,,,
75,,1215,,,,,0.8125,0.888702392578125
75,9.08764104678994e-06,1215,0.61328125,,28.529434204101562,,,
76,,1231,,,,,0.75,0.9105682373046875
76,9.08764104678994e-06,1231,0.64453125,,28.496341705322266,,,
77,,1247,,,,,0.8125,0.885894775390625
77,9.08764104678994e-06,1247,0.609375,,28.41815757751465,,,
78,,1249,,0.9601075649261475,,0.9962615966796875,,
78,,1263,,,,,0.8125,0.87164306640625
78,9.08764104678994e-06,1263,0.60546875,,28.298965454101562,,,
79,,1279,,,,,0.8125,0.8818511962890625
79,9.08764104678994e-06,1279,0.62109375,,28.372312545776367,,,
80,,1295,,,,,0.8125,0.8744964599609375
80,8.178876669262536e-06,1295,0.58984375,,28.541362762451172,,,
81,,1299,,0.966066837310791,,0.8863525390625,,
81,,1311,,,,,0.8125,0.8649139404296875
81,8.178876669262536e-06,1311,0.6171875,,29.519515991210938,,,
82,,1327,,,,,0.8125,0.85345458984375
82,8.178876669262536e-06,1327,0.59765625,,29.699462890625,,,
83,,1343,,,,,0.8125,0.852294921875
83,8.178876669262536e-06,1343,0.625,,29.924219131469727,,,
84,,1349,,0.9692158699035645,,0.8479537963867188,,
84,,1359,,,,,0.8125,0.8589630126953125
84,8.178876669262536e-06,1359,0.62109375,,29.658611297607422,,,
85,,1375,,,,,0.8125,0.85406494140625
85,8.178876669262536e-06,1375,0.625,,29.349708557128906,,,
86,,1391,,,,,0.8125,0.85223388671875
86,8.178876669262536e-06,1391,0.6328125,,29.515907287597656,,,
87,,1399,,0.9667415618896484,,0.9775543212890625,,
87,,1407,,,,,0.8125,0.8280487060546875
87,8.178876669262536e-06,1407,0.62890625,,29.5366153717041,,,
88,,1423,,,,,0.8125,0.828338623046875
88,8.178876669262536e-06,1423,0.63671875,,29.285554885864258,,,
89,,1439,,,,,0.8125,0.8339080810546875
89,8.178876669262536e-06,1439,0.60546875,,29.49886703491211,,,
90,,1449,,0.9821655750274658,,0.98248291015625,,
90,,1455,,,,,0.8125,0.8214111328125
90,7.360989457083633e-06,1455,0.640625,,29.768251419067383,,,
91,,1471,,,,,0.8125,0.8303985595703125
91,7.360989457083633e-06,1471,0.58984375,,29.292640686035156,,,
92,,1487,,,,,0.8125,0.84466552734375
92,7.360989457083633e-06,1487,0.609375,,29.586849212646484,,,
93,,1499,,0.9631669521331787,,0.9412078857421875,,
93,,1503,,,,,0.875,0.8283233642578125
93,7.360989457083633e-06,1503,0.609375,,29.40835952758789,,,
94,,1519,,,,,0.8125,0.819488525390625
94,7.360989457083633e-06,1519,0.64453125,,29.48624038696289,,,
95,,1535,,,,,0.8125,0.82611083984375
95,7.360989457083633e-06,1535,0.59375,,29.908185958862305,,,
96,,1549,,0.9650368690490723,,1.1849365234375,,
96,,1551,,,,,0.8125,0.8187103271484375
96,7.360989457083633e-06,1551,0.6484375,,29.920574188232422,,,
97,,1567,,,,,0.8125,0.8234710693359375
97,7.360989457083633e-06,1567,0.62109375,,29.873456954956055,,,
98,,1583,,,,,0.8125,0.8092193603515625
98,7.360989457083633e-06,1583,0.59765625,,29.393653869628906,,,
99,,1599,,0.9604136943817139,,1.360565185546875,,
99,,1599,,,,,0.875,0.815185546875
99,7.360989457083633e-06,1599,0.6015625,,28.97429656982422,,,
100,,1615,,,,,0.875,0.8050079345703125
100,6.624890374951065e-06,1615,0.65234375,,29.312664031982422,,,
101,,1631,,,,,0.875,0.795867919921875
101,6.624890374951065e-06,1631,0.640625,,29.558971405029297,,,
102,,1647,,,,,0.8125,0.805023193359375
102,6.624890374951065e-06,1647,0.6484375,,29.706932067871094,,,
103,,1649,,0.9508576393127441,,0.7952079772949219,,
103,,1663,,,,,0.8125,0.81597900390625
103,6.624890374951065e-06,1663,0.61328125,,29.690038681030273,,,
104,,1679,,,,,0.8125,0.8026275634765625
104,6.624890374951065e-06,1679,0.62109375,,29.353208541870117,,,
105,,1695,,,,,0.8125,0.8084564208984375
105,6.624890374951065e-06,1695,0.59375,,29.566303253173828,,,
106,,1699,,0.9614031314849854,,1.0507888793945312,,
106,,1711,,,,,0.8125,0.789703369140625
106,6.624890374951065e-06,1711,0.625,,29.68167495727539,,,
107,,1727,,,,,0.875,0.7959136962890625
107,6.624890374951065e-06,1727,0.65625,,29.632326126098633,,,
108,,1743,,,,,0.8125,0.7911224365234375
108,6.624890374951065e-06,1743,0.6484375,,29.911701202392578,,,
109,,1749,,0.9515190124511719,,1.0455780029296875,,
109,,1759,,,,,0.875,0.78875732421875
109,6.624890374951065e-06,1759,0.6640625,,29.5007266998291,,,
110,,1775,,,,,0.875,0.7772979736328125
110,5.962401246506488e-06,1775,0.63671875,,29.735933303833008,,,
111,,1791,,,,,0.875,0.7723846435546875
111,5.962401246506488e-06,1791,0.65234375,,29.446969985961914,,,
112,,1799,,0.9664275646209717,,1.021728515625,,
112,,1807,,,,,0.8125,0.7671661376953125
112,5.962401246506488e-06,1807,0.63671875,,29.534238815307617,,,
113,,1823,,,,,0.8125,0.7675628662109375
113,5.962401246506488e-06,1823,0.62109375,,29.3834228515625,,,
114,,1839,,,,,0.875,0.7745513916015625
114,5.962401246506488e-06,1839,0.63671875,,29.71921157836914,,,
115,,1849,,0.9695730209350586,,1.2951698303222656,,
115,,1855,,,,,0.8125,0.7734375
115,5.962401246506488e-06,1855,0.609375,,29.59742546081543,,,
116,,1871,,,,,0.875,0.7659759521484375
116,5.962401246506488e-06,1871,0.67578125,,29.96500015258789,,,
117,,1887,,,,,0.875,0.763702392578125
117,5.962401246506488e-06,1887,0.6328125,,29.896713256835938,,,
118,,1899,,0.9694399833679199,,0.9263458251953125,,
118,,1903,,,,,0.875,0.762542724609375
118,5.962401246506488e-06,1903,0.6015625,,29.532983779907227,,,
119,,1919,,,,,0.875,0.7583770751953125
119,5.962401246506488e-06,1919,0.64453125,,29.682998657226562,,,
120,,1935,,,,,0.875,0.7499847412109375
120,5.366161076381104e-06,1935,0.671875,,29.770645141601562,,,
121,,1949,,0.9573690891265869,,0.8040237426757812,,
121,,1951,,,,,0.875,0.7522125244140625
121,5.366161076381104e-06,1951,0.71484375,,29.889968872070312,,,
122,,1967,,,,,0.8125,0.7475204467773438
122,5.366161076381104e-06,1967,0.64453125,,29.912256240844727,,,
123,,1983,,,,,0.875,0.7393646240234375
123,5.366161076381104e-06,1983,0.68359375,,29.049781799316406,,,
124,,1999,,0.9611258506774902,,1.2384185791015625,,
124,,1999,,,,,0.875,0.7436981201171875
124,5.366161076381104e-06,1999,0.65625,,29.370956420898438,,,
125,,2015,,,,,0.875,0.7413177490234375
125,5.366161076381104e-06,2015,0.66015625,,29.682836532592773,,,
126,,2031,,,,,0.875,0.7441864013671875
126,5.366161076381104e-06,2031,0.640625,,29.56711196899414,,,
127,,2047,,,,,0.875,0.737274169921875
127,5.366161076381104e-06,2047,0.66015625,,29.61932373046875,,,
128,,2049,,0.9541046619415283,,0.9479751586914062,,
128,,2063,,,,,0.875,0.7430267333984375
128,5.366161076381104e-06,2063,0.60546875,,30.319162368774414,,,
129,,2079,,,,,0.875,0.7260589599609375
129,5.366161076381104e-06,2079,0.65625,,29.975656509399414,,,
130,,2095,,,,,0.875,0.723876953125
130,4.829545105167199e-06,2095,0.65234375,,29.914875030517578,,,
131,,2099,,0.9538428783416748,,0.89202880859375,,
131,,2111,,,,,0.875,0.724365234375
131,4.829545105167199e-06,2111,0.65625,,29.705303192138672,,,
132,,2127,,,,,0.875,0.7280502319335938
132,4.829545105167199e-06,2127,0.6796875,,29.34966278076172,,,
133,,2143,,,,,0.8125,0.7249755859375
133,4.829545105167199e-06,2143,0.640625,,29.394046783447266,,,
134,,2149,,0.9696619510650635,,0.8392429351806641,,
134,,2159,,,,,0.8125,0.7201995849609375
134,4.829545105167199e-06,2159,0.7109375,,29.70962142944336,,,
135,,2175,,,,,0.875,0.7232818603515625
135,4.829545105167199e-06,2175,0.671875,,29.498409271240234,,,
136,,2191,,,,,0.875,0.7196044921875
136,4.829545105167199e-06,2191,0.65234375,,29.788692474365234,,,
137,,2199,,0.9716825485229492,,1.1622467041015625,,
137,,2207,,,,,0.875,0.7178115844726562
137,4.829545105167199e-06,2207,0.6484375,,29.702600479125977,,,
138,,2223,,,,,0.875,0.7157440185546875
138,4.829545105167199e-06,2223,0.671875,,29.721494674682617,,,
139,,2239,,,,,0.8125,0.7172698974609375
139,4.829545105167199e-06,2239,0.62890625,,29.765811920166016,,,
140,,2249,,0.968435525894165,,1.02154541015625,,
140,,2255,,,,,0.875,0.7114486694335938
140,4.346590685599949e-06,2255,0.6171875,,29.48833465576172,,,
141,,2271,,,,,0.875,0.709259033203125
141,4.346590685599949e-06,2271,0.6875,,29.905202865600586,,,
142,,2287,,,,,0.875,0.70428466796875
142,4.346590685599949e-06,2287,0.62890625,,29.726436614990234,,,
143,,2299,,0.9633777141571045,,1.0693016052246094,,
143,,2303,,,,,0.875,0.705902099609375
143,4.346590685599949e-06,2303,0.625,,29.349735260009766,,,
144,,2319,,,,,0.875,0.7029495239257812
144,4.346590685599949e-06,2319,0.625,,29.901817321777344,,,
145,,2335,,,,,0.9375,0.7036285400390625
145,4.346590685599949e-06,2335,0.69921875,,29.705154418945312,,,
146,,2349,,0.9603054523468018,,0.9995765686035156,,
146,,2351,,,,,0.9375,0.7004165649414062
146,4.346590685599949e-06,2351,0.69921875,,29.447071075439453,,,
147,,2367,,,,,0.875,0.6970062255859375
147,4.346590685599949e-06,2367,0.640625,,29.784250259399414,,,
148,,2383,,,,,0.9375,0.7004013061523438
148,4.346590685599949e-06,2383,0.64453125,,29.48786735534668,,,
149,,2399,,0.9667422771453857,,0.8969249725341797,,
149,,2399,,,,,0.8125,0.6987152099609375
149,4.346590685599949e-06,2399,0.66796875,,29.773292541503906,,,
