epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_acc,val_loss
44,1.2465899999369867e-05,719,1.3224549293518066,,,
45,,735,,,0.75,1.200775146484375
45,1.2465899999369867e-05,735,1.324873924255371,,,
46,,749,,1.4270477294921875,,
46,,751,,,0.75,1.178192138671875
46,1.2465899999369867e-05,751,1.2924046516418457,,,
47,,767,,,0.8125,1.14996337890625
47,1.2465899999369867e-05,767,1.2401211261749268,,,
48,,783,,,0.8125,1.136962890625
48,1.2465899999369867e-05,783,1.3701095581054688,,,
49,,799,,1.2412261962890625,,
49,,799,,,0.75,1.151580810546875
49,1.2465899999369867e-05,799,1.301893711090088,,,
50,,815,,,0.75,1.127685546875
50,1.121931018133182e-05,815,1.261631965637207,,,
51,,831,,,0.875,1.1339111328125
51,1.121931018133182e-05,831,1.3011267185211182,,,
52,,847,,,0.8125,1.10894775390625
52,1.121931018133182e-05,847,1.2294371128082275,,,
53,,849,,1.22265625,,
53,,863,,,0.8125,1.0866546630859375
53,1.121931018133182e-05,863,1.2178168296813965,,,
54,,879,,,0.8125,1.0851898193359375
54,1.121931018133182e-05,879,1.2437317371368408,,,
55,,895,,,0.8125,1.064239501953125
55,1.121931018133182e-05,895,1.2299431562423706,,,
56,,899,,1.31195068359375,,
56,,911,,,0.75,1.088958740234375
56,1.121931018133182e-05,911,1.18666672706604,,,
57,,927,,,0.8125,1.0969390869140625
57,1.121931018133182e-05,927,1.2201733589172363,,,
58,,943,,,0.8125,1.0866851806640625
58,1.121931018133182e-05,943,1.2568740844726562,,,
59,,949,,1.357452392578125,,
59,,959,,,0.8125,1.0578460693359375
59,1.121931018133182e-05,959,1.2034024000167847,,,
60,,975,,,0.8125,1.0514984130859375
60,1.0097379345097579e-05,975,1.2668938636779785,,,
61,,991,,,0.8125,1.0268096923828125
61,1.0097379345097579e-05,991,1.1409528255462646,,,
62,,999,,1.2624740600585938,,
62,,1007,,,0.875,1.0221405029296875
62,1.0097379345097579e-05,1007,1.178328037261963,,,
63,,1023,,,0.875,1.0404052734375
63,1.0097379345097579e-05,1023,1.2518501281738281,,,
64,,1039,,,0.875,1.0228729248046875
64,1.0097379345097579e-05,1039,1.2279939651489258,,,
65,,1049,,1.287933349609375,,
65,,1055,,,0.8125,1.02593994140625
65,1.0097379345097579e-05,1055,1.185530185699463,,,
66,,1071,,,0.875,1.0002593994140625
66,1.0097379345097579e-05,1071,1.1555784940719604,,,
67,,1087,,,0.9375,0.9857330322265625
67,1.0097379345097579e-05,1087,1.1581655740737915,,,
68,,1099,,1.2876434326171875,,
68,,1103,,,0.8125,0.985687255859375
68,1.0097379345097579e-05,1103,1.1030302047729492,,,
69,,1119,,,0.8125,0.98736572265625
69,1.0097379345097579e-05,1119,1.2122217416763306,,,
70,,1135,,,0.8125,0.9947662353515625
70,9.08764104678994e-06,1135,1.1478784084320068,,,
71,,1149,,1.2615814208984375,,
71,,1151,,,0.875,0.98553466796875
71,9.08764104678994e-06,1151,1.0995607376098633,,,
72,,1167,,,0.8125,0.9818878173828125
72,9.08764104678994e-06,1167,1.1706030368804932,,,
73,,1183,,,0.875,0.9720001220703125
73,9.08764104678994e-06,1183,1.127606749534607,,,
74,,1199,,0.9169692993164062,,
74,,1199,,,0.75,1.01324462890625
74,9.08764104678994e-06,1199,1.143696904182434,,,
75,,1215,,,0.875,0.9902801513671875
75,9.08764104678994e-06,1215,1.1178381443023682,,,
76,,1231,,,0.9375,0.97357177734375
76,9.08764104678994e-06,1231,1.1414693593978882,,,
77,,1247,,,0.9375,0.938690185546875
77,9.08764104678994e-06,1247,1.1162724494934082,,,
78,,1249,,1.2557601928710938,,
78,,1263,,,0.875,0.945892333984375
78,9.08764104678994e-06,1263,1.1497997045516968,,,
79,,1279,,,0.9375,0.937103271484375
79,9.08764104678994e-06,1279,1.1216163635253906,,,
80,,1295,,,0.75,0.9730987548828125
80,8.178876669262536e-06,1295,1.1003589630126953,,,
81,,1299,,0.9459609985351562,,
81,,1311,,,0.9375,0.9334716796875
81,8.178876669262536e-06,1311,1.1675875186920166,,,
82,,1327,,,0.875,0.9517822265625
82,8.178876669262536e-06,1327,1.1449549198150635,,,
83,,1343,,,0.9375,0.943817138671875
83,8.178876669262536e-06,1343,1.1426867246627808,,,
84,,1349,,1.1633415222167969,,
84,,1359,,,0.9375,0.930999755859375
84,8.178876669262536e-06,1359,1.1327049732208252,,,
85,,1375,,,0.875,0.93829345703125
85,8.178876669262536e-06,1375,1.1473896503448486,,,
86,,1391,,,0.9375,0.9199676513671875
86,8.178876669262536e-06,1391,1.1005923748016357,,,
87,,1399,,1.4316864013671875,,
87,,1407,,,0.9375,0.9252777099609375
87,8.178876669262536e-06,1407,1.1050671339035034,,,
88,,1423,,,0.9375,0.91009521484375
88,8.178876669262536e-06,1423,1.100691556930542,,,
89,,1439,,,0.9375,0.902618408203125
89,8.178876669262536e-06,1439,1.106406569480896,,,
90,,1449,,0.9041175842285156,,
90,,1455,,,0.875,0.9023284912109375
90,7.360989457083633e-06,1455,1.1527981758117676,,,
91,,1471,,,0.9375,0.9155731201171875
91,7.360989457083633e-06,1471,1.1437098979949951,,,
92,,1487,,,0.9375,0.917205810546875
92,7.360989457083633e-06,1487,1.1212890148162842,,,
93,,1499,,0.9695930480957031,,
93,,1503,,,0.875,0.9164886474609375
93,7.360989457083633e-06,1503,1.0550791025161743,,,
94,,1519,,,0.875,0.8946533203125
94,7.360989457083633e-06,1519,1.047942876815796,,,
95,,1535,,,0.9375,0.88031005859375
95,7.360989457083633e-06,1535,1.0720001459121704,,,
96,,1549,,1.3291587829589844,,
96,,1551,,,0.9375,0.8803253173828125
96,7.360989457083633e-06,1551,1.0892397165298462,,,
97,,1567,,,0.9375,0.8744659423828125
97,7.360989457083633e-06,1567,1.0521485805511475,,,
98,,1583,,,0.9375,0.871917724609375
98,7.360989457083633e-06,1583,1.0728509426116943,,,
99,,1599,,0.9144210815429688,,
99,,1599,,,0.9375,0.8735809326171875
99,7.360989457083633e-06,1599,1.0449905395507812,,,
100,,1615,,,0.9375,0.881500244140625
100,6.624890374951065e-06,1615,1.1162961721420288,,,
